Tuition fees up to date,Scholarship holder,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target,Application mode,Debtor,Gender,Age at enrollment
1,0,6,6,12.666666666666666,6,6,14.125,1,3,0,0,18
1,0,5,1,10.0,5,1,10.0,0,1,0,1,21
1,0,8,7,13.0,8,7,13.0,1,1,0,1,18
1,0,6,0,0.0,6,0,0.0,0,1,0,1,18
1,0,8,7,13.742857142857144,8,7,13.742857142857144,1,4,0,0,29
1,1,7,7,14.093333333333332,8,8,15.0,1,1,0,0,20
1,1,6,6,13.555555555555555,6,6,12.666666666666666,1,15,0,1,24
0,0,6,0,0.0,6,0,0.0,0,12,1,1,34
1,0,5,4,12.5,5,4,14.25,1,1,0,1,19
1,0,6,6,15.166666666666666,6,2,15.5,1,12,0,0,24
1,1,0,0,0.0,0,0,0.0,1,8,0,1,19
1,0,6,6,13.857142857142858,6,5,13.4,1,1,0,0,19
0,0,6,0,0.0,6,0,0.0,0,1,1,0,18
1,1,8,7,11.4,8,7,11.4,1,9,0,0,19
1,0,6,5,13.142857142857142,6,3,12.666666666666666,0,12,1,1,24
1,0,6,6,11.666666666666666,6,5,13.2,1,8,0,0,18
1,1,6,6,14.857142857142858,6,6,13.11111111111111,1,1,0,0,19
1,0,7,7,13.585714285714284,8,8,14.6875,1,14,0,1,20
1,0,5,3,12.333333333333334,5,0,0.0,0,8,0,1,19
1,0,5,0,0.0,5,0,0.0,0,4,0,0,25
0,0,5,2,12.5,5,1,11.0,0,8,0,1,19
1,0,5,0,0.0,5,0,0.0,0,13,0,1,22
1,0,7,6,12.571428571428571,9,9,12.555555555555555,1,15,0,1,25
0,0,6,2,16.0,7,2,16.0,0,15,1,1,24
1,1,6,6,14.166666666666666,6,4,14.0,1,1,0,0,18
1,0,7,6,13.492857142857144,8,8,12.68888888888889,1,1,0,1,19
1,0,6,6,14.666666666666666,6,6,15.142857142857142,1,1,0,0,19
1,0,18,18,12.5,13,12,11.428571428571429,1,14,0,1,28
0,0,8,4,10.5,10,7,10.428571428571429,0,16,1,1,26
1,0,6,6,13.666666666666666,6,6,13.5,1,1,0,1,18
1,0,7,0,0.0,8,0,0.0,0,4,0,0,26
0,0,6,6,13.375,6,6,13.0,1,15,0,0,20
1,0,6,5,12.4,6,1,11.0,0,1,0,0,21
1,0,5,4,10.75,5,5,11.4,1,1,0,1,21
1,0,5,5,12.8,5,5,12.6,1,1,0,0,18
1,0,6,6,13.833333333333334,6,6,13.666666666666666,1,1,0,1,18
0,0,5,3,11.666666666666666,5,2,11.5,0,12,0,1,28
1,0,7,7,12.142857142857142,7,7,13.142857142857142,1,8,0,0,18
1,0,12,9,12.333333333333334,11,6,13.166666666666666,0,4,0,1,27
1,1,6,5,11.0,6,5,12.0,1,1,0,0,21
1,0,6,0,0.0,6,0,0.0,0,8,0,0,19
0,0,5,5,10.6,5,5,14.666666666666666,0,12,1,1,39
1,0,7,7,14.05,8,8,15.1,1,8,0,0,19
1,0,8,7,13.258571428571427,8,7,13.258571428571427,1,1,0,0,19
0,0,7,5,13.0,7,5,12.88,0,12,0,1,37
1,0,5,5,13.571428571428571,5,5,12.333333333333334,1,8,0,0,29
1,0,5,5,13.25,5,5,11.0,1,8,0,1,19
1,0,12,6,13.0,12,11,13.833333333333334,1,12,0,0,26
0,0,7,0,0.0,6,0,0.0,0,9,1,0,20
1,1,5,5,12.8,5,5,11.6,1,1,0,0,19
1,1,6,5,12.0,6,5,12.333333333333334,1,8,0,0,18
1,1,8,7,15.228571428571428,8,7,15.228571428571428,1,8,0,0,18
1,1,0,0,0.0,0,0,0.0,1,1,0,0,18
1,0,5,4,12.0,5,5,13.428571428571429,1,14,0,0,20
1,0,21,21,12.476190476190476,19,19,12.210526315789474,1,14,0,1,37
1,0,7,0,0.0,7,0,0.0,0,8,0,0,21
1,0,5,4,11.5,5,5,11.6,0,12,0,1,47
1,0,8,8,13.25375,8,8,13.25375,1,1,0,0,19
1,0,6,6,12.5,6,6,12.666666666666666,1,1,0,0,18
1,0,7,7,13.428571428571429,8,8,15.3125,1,1,0,0,18
1,0,6,6,14.833333333333334,6,6,15.333333333333334,1,1,0,0,18
1,1,0,0,0.0,0,0,0.0,1,1,0,0,18
1,0,6,4,11.5,6,3,11.0,0,15,1,0,32
0,0,5,0,0.0,5,0,0.0,0,4,0,0,37
1,0,7,5,14.2,7,6,12.4,0,8,0,1,18
1,1,7,7,12.65,8,8,12.445555555555554,1,1,1,0,18
1,1,7,6,14.25,8,8,13.063636363636364,1,14,0,0,19
0,1,6,5,12.0,6,4,12.5,0,1,1,0,19
1,0,6,5,12.6,6,5,11.2,1,8,0,0,19
0,0,7,5,12.0,7,3,11.666666666666666,0,12,1,1,37
0,0,6,0,0.0,6,0,0.0,0,12,0,1,26
1,0,6,6,14.0,6,6,13.166666666666666,1,1,0,0,18
0,0,6,1,11.0,6,2,10.5,0,12,1,1,28
1,1,6,6,12.285714285714286,6,6,13.333333333333334,1,8,0,1,18
1,0,7,7,15.014285714285714,8,8,16.0875,1,1,0,0,18
1,0,6,0,0.0,6,0,0.0,0,12,0,0,30
0,0,9,3,13.333333333333334,6,2,12.5,0,8,1,1,20
1,0,15,13,12.461538461538462,13,10,11.1,0,13,0,0,54
1,0,8,7,12.944285714285714,8,7,12.944285714285714,1,1,0,0,18
0,0,0,0,0.0,0,0,0.0,0,1,1,0,18
1,0,5,0,0.0,5,5,12.285714285714286,1,8,0,1,21
1,0,6,5,13.6,6,3,12.666666666666666,0,9,0,1,18
1,1,0,0,0.0,0,0,0.0,1,1,0,0,18
1,1,7,5,13.85,8,7,12.19285714285714,1,16,0,0,19
1,0,5,0,0.0,5,0,0.0,0,12,1,0,36
1,0,6,6,14.5,6,5,12.0,1,1,0,0,21
1,0,5,3,12.333333333333334,5,5,12.6,1,1,0,0,18
1,0,8,7,13.867142857142856,8,7,13.867142857142856,1,8,0,1,19
0,0,6,5,16.166666666666668,6,4,16.0,0,12,1,1,35
1,1,6,4,11.25,6,4,11.4,1,8,0,0,21
1,0,7,7,12.375,7,5,12.583333333333334,1,9,0,1,21
1,0,7,7,13.135,8,8,13.244444444444444,1,1,0,0,18
1,1,8,8,13.57625,8,8,13.57625,1,1,0,0,19
1,1,5,4,10.75,5,5,13.0,1,1,0,0,18
1,1,6,6,11.714285714285714,6,6,14.666666666666666,1,1,0,0,18
1,1,6,5,12.2,6,4,11.25,1,12,0,0,47
1,0,5,5,13.6,5,5,13.0,1,1,0,1,20
1,0,8,7,14.402857142857142,8,7,14.402857142857142,1,9,0,0,20
1,0,6,6,12.833333333333334,6,6,13.333333333333334,1,1,0,0,18
1,1,8,7,11.785714285714286,8,7,11.785714285714286,1,9,0,0,18
1,0,5,1,10.0,5,2,13.0,0,14,0,0,22
1,0,5,5,11.714285714285714,5,5,12.6,1,8,0,0,19
1,0,7,0,0.0,8,0,0.0,0,12,0,0,32
1,0,5,1,10.0,5,2,12.0,0,14,0,0,55
1,1,6,5,12.6,6,5,13.2,1,15,0,1,20
1,0,6,6,13.0,6,3,12.666666666666666,1,15,0,0,22
1,0,5,4,11.5,5,4,10.75,1,1,0,0,20
1,0,5,1,13.0,5,0,0.0,0,1,1,0,29
1,1,5,5,12.6,5,2,12.5,0,8,0,1,19
1,1,6,5,13.5,6,6,14.0,1,8,0,0,19
1,0,6,0,0.0,6,0,0.0,0,1,0,0,20
1,0,12,12,14.538461538461538,12,12,14.461538461538462,1,1,1,1,21
1,1,6,5,11.6,6,5,14.2,1,12,0,0,51
1,0,5,3,12.0,5,1,15.0,0,1,0,0,21
1,1,5,5,12.75,5,5,11.5,1,8,0,1,18
1,0,7,6,12.733333333333334,7,6,12.733333333333334,1,14,0,1,22
1,0,6,0,0.0,6,0,0.0,0,1,0,0,20
1,0,6,6,17.0,6,6,16.0,1,1,0,0,18
1,0,5,5,11.0,5,5,11.8,1,12,0,0,41
1,0,5,0,0.0,5,0,0.0,0,12,0,0,27
1,0,18,18,13.736842105263158,13,12,13.75,1,12,0,1,32
1,0,7,6,12.385714285714286,8,8,13.755555555555556,1,8,0,0,18
1,0,6,6,16.142857142857142,6,6,14.666666666666666,1,12,0,0,27
1,1,7,6,11.6,7,6,11.6,1,1,0,0,18
1,1,5,5,12.4,5,5,12.833333333333334,1,1,0,0,20
1,1,6,6,11.833333333333334,6,4,13.75,1,12,1,0,39
0,0,6,4,11.0,6,2,11.5,0,8,0,0,19
0,1,6,0,0.0,6,0,0.0,0,12,1,1,46
1,1,0,0,0.0,0,0,0.0,1,8,0,0,20
1,0,6,6,11.833333333333334,6,6,12.166666666666666,1,8,0,1,20
1,0,6,6,14.0,6,6,13.333333333333334,1,3,0,0,19
1,1,5,4,12.25,5,3,12.333333333333334,0,8,0,1,18
1,0,6,0,0.0,6,0,0.0,0,1,0,0,19
0,0,6,3,11.0,6,3,12.0,0,8,0,0,19
1,0,8,7,12.828571428571427,8,7,12.828571428571427,1,1,0,1,19
0,0,5,0,0.0,5,0,0.0,0,12,0,1,32
1,0,12,8,13.875,11,9,12.7,0,1,0,0,21
1,0,5,5,16.166666666666668,5,5,15.833333333333334,1,1,0,0,20
1,1,8,8,13.76375,8,8,13.76375,1,1,0,0,18
1,0,13,13,14.307692307692308,12,12,15.23076923076923,1,4,0,0,54
1,1,6,6,13.333333333333334,6,5,12.8,1,8,0,1,23
1,1,7,7,13.0,8,8,15.0625,1,1,0,0,20
1,0,6,6,14.166666666666666,6,6,12.2,1,1,0,0,19
1,0,7,7,12.60625,8,6,11.9,1,1,0,0,19
1,1,0,0,0.0,0,0,0.0,1,1,0,1,19
1,0,10,9,12.333333333333334,7,7,11.77777777777778,1,14,0,0,20
1,0,6,6,13.333333333333334,6,6,12.0,1,1,0,0,18
1,0,6,6,14.5,6,6,15.166666666666666,1,1,0,1,18
1,0,6,6,12.714285714285714,6,6,13.5,1,15,0,1,19
1,0,7,7,14.13125,8,8,13.98375,1,1,0,0,18
1,0,8,7,13.297142857142855,8,7,13.297142857142855,1,8,0,0,18
1,1,23,20,14.575,23,20,14.575,1,14,0,0,22
0,0,7,0,0.0,7,1,10.0,0,12,1,1,37
1,1,8,7,12.657142857142857,8,7,12.657142857142857,1,1,0,0,19
1,0,7,0,0.0,7,0,0.0,0,14,0,1,32
0,0,6,5,11.4,6,2,13.5,0,1,1,0,18
1,0,7,0,0.0,7,0,0.0,0,12,0,1,36
1,0,9,8,12.0,7,7,11.571428571428571,1,12,0,1,37
1,0,6,0,0.0,6,0,0.0,0,14,1,1,23
0,0,0,0,0.0,0,0,0.0,0,8,0,1,21
0,0,6,4,11.25,6,4,10.857142857142858,0,1,1,0,18
1,0,6,5,11.4,6,6,12.166666666666666,1,8,0,1,22
1,1,6,6,13.666666666666666,6,6,12.0,1,8,0,1,18
1,1,5,5,11.2,5,5,11.8,1,8,0,0,18
1,0,7,7,13.995714285714287,8,8,14.955555555555556,1,1,0,0,18
1,0,6,6,13.166666666666666,6,6,13.166666666666666,1,1,0,0,18
0,0,5,0,0.0,5,0,0.0,0,12,0,1,25
1,0,6,6,12.5,6,6,13.833333333333334,1,8,0,0,18
1,0,14,11,12.25,10,10,13.4,1,13,0,0,41
1,0,6,5,10.8,6,0,0.0,0,8,0,1,18
0,0,6,0,0.0,6,0,0.0,0,12,1,0,27
1,0,6,3,12.0,6,2,10.0,0,1,0,1,19
0,0,6,0,0.0,5,0,0.0,0,8,0,1,20
1,1,6,4,14.75,6,5,11.8,1,8,0,1,21
1,1,6,5,13.833333333333334,6,6,12.5,1,12,1,0,33
1,1,5,5,12.285714285714286,5,5,12.75,1,12,0,0,24
1,0,6,4,11.5,6,3,11.0,0,1,0,1,19
1,0,7,7,13.175714285714289,8,8,14.925,1,1,0,1,18
1,0,0,0,0.0,0,0,0.0,1,1,0,1,19
1,0,6,6,12.857142857142858,6,3,12.666666666666666,1,1,0,0,18
1,1,8,7,13.671428571428573,8,7,13.671428571428573,1,1,0,0,18
1,0,9,6,10.5,10,10,11.7,1,14,0,1,23
1,1,6,6,14.166666666666666,6,6,13.666666666666666,1,8,0,0,18
1,0,10,5,12.166666666666666,8,0,0.0,0,12,1,0,45
1,0,12,12,12.25,13,13,12.846153846153848,1,14,0,1,37
1,0,6,3,12.333333333333334,6,4,13.5,0,8,0,0,18
1,1,8,7,13.6,8,7,13.6,1,1,0,0,19
1,1,7,7,12.285714285714286,9,8,12.375,1,15,0,1,22
1,1,8,7,12.90857142857143,8,7,12.90857142857143,1,1,0,0,18
1,0,5,2,12.0,5,3,11.0,0,12,0,0,26
1,0,8,7,14.24,8,7,14.24,1,8,0,0,18
1,1,6,6,11.333333333333334,6,6,11.333333333333334,1,12,0,0,41
1,1,7,6,13.8875,8,8,14.864444444444445,1,8,0,0,19
1,1,6,6,11.875,6,6,14.428571428571429,1,1,0,0,20
1,1,6,6,12.833333333333334,6,6,12.333333333333334,1,8,0,0,18
1,1,8,8,13.625,7,7,14.0,1,12,0,0,35
1,0,5,5,12.2,5,5,11.8,1,12,0,1,49
1,0,7,7,13.175,8,8,14.875,1,8,0,0,18
1,0,7,7,14.594444444444443,8,8,13.472,1,1,0,1,18
1,1,7,7,16.9,8,8,16.37777777777778,1,1,0,0,18
1,1,6,5,11.666666666666666,6,5,12.666666666666666,1,1,0,0,19
0,0,6,6,11.5,6,2,13.0,0,8,0,1,20
1,0,5,5,12.6,5,5,14.0,1,1,0,0,18
1,0,6,6,13.5,6,6,13.166666666666666,1,1,0,1,19
1,0,7,6,15.25,7,6,15.25,1,1,0,0,18
1,0,7,0,0.0,8,0,0.0,0,8,0,0,19
1,0,6,5,13.625,6,5,12.6,1,15,0,1,21
1,0,6,5,11.0,6,5,11.4,1,1,0,0,19
1,0,6,6,11.666666666666666,6,6,12.333333333333334,1,8,1,0,18
1,0,6,4,13.2,6,5,12.8,1,1,0,0,18
1,0,5,0,0.0,5,0,0.0,0,12,0,1,61
1,0,8,7,13.4,8,7,13.4,1,1,0,1,18
1,1,5,5,14.6,5,5,12.0,1,8,0,0,18
0,0,6,1,11.0,6,0,0.0,0,12,0,1,33
1,1,7,7,16.13142857142857,8,8,15.52222222222222,1,16,0,0,20
0,0,5,0,0.0,5,0,0.0,0,12,1,1,70
1,1,5,3,10.6,5,3,10.5,1,1,0,0,18
1,0,17,17,11.61111111111111,17,17,12.055555555555555,1,1,0,1,25
1,0,6,5,13.0,6,6,14.166666666666666,1,1,0,0,24
1,1,6,4,11.5,6,5,12.6,1,1,0,1,18
1,0,6,4,11.25,6,2,12.5,0,1,0,0,18
1,1,6,6,13.5,6,6,13.285714285714286,1,1,0,0,19
0,0,5,2,11.5,5,2,10.5,0,8,0,0,21
1,1,6,6,10.833333333333334,6,6,11.5,1,9,0,0,19
1,0,7,6,14.316666666666668,7,6,14.316666666666668,1,8,0,0,18
1,1,6,6,12.5,6,6,11.666666666666666,1,1,0,0,18
1,0,6,6,12.166666666666666,6,6,12.166666666666666,1,1,0,1,19
1,0,0,0,0.0,0,0,0.0,0,8,0,0,23
1,1,6,6,11.166666666666666,6,5,12.4,1,1,0,0,18
1,0,5,4,11.75,5,5,11.6,1,8,0,0,21
1,0,6,3,12.0,6,2,12.0,0,1,0,0,18
1,1,6,6,12.25,6,6,12.0,1,1,0,0,19
1,0,5,0,0.0,5,1,12.0,0,1,0,1,18
1,0,13,6,11.333333333333334,11,2,13.5,0,14,0,1,50
1,0,6,6,11.666666666666666,6,3,12.0,1,1,0,0,19
1,0,5,3,10.5,5,3,10.8,0,8,0,1,19
0,0,6,4,12.5,6,0,0.0,0,1,0,1,19
1,1,5,5,14.0,5,3,12.0,1,1,0,0,20
1,0,7,6,13.796666666666669,8,7,13.775,1,8,0,0,23
1,1,7,1,13.0,7,0,0.0,0,1,0,1,20
0,0,5,2,11.0,5,0,0.0,0,12,0,1,31
1,0,5,0,0.0,5,0,0.0,0,1,0,1,18
1,0,6,0,0.0,6,0,0.0,0,16,0,1,22
0,0,6,1,14.0,6,0,0.0,0,1,1,1,21
1,1,6,6,14.0,6,6,13.857142857142858,0,8,0,0,20
1,0,6,6,11.166666666666666,6,6,11.666666666666666,1,8,0,0,19
0,0,6,4,12.0,6,3,10.666666666666666,0,1,0,0,20
1,0,0,0,0.0,0,0,0.0,0,1,1,1,18
1,0,0,0,0.0,0,0,0.0,0,8,0,1,19
1,0,6,6,14.0,6,6,14.666666666666666,1,8,0,1,18
0,0,6,0,0.0,5,0,0.0,0,12,1,0,32
1,0,6,2,11.666666666666666,6,2,10.5,0,12,0,0,24
1,0,6,4,12.8,6,0,0.0,0,8,0,1,20
1,1,6,6,11.333333333333334,6,6,11.571428571428571,1,8,0,0,18
1,0,5,0,0.0,5,0,0.0,0,1,0,1,20
1,0,6,6,14.5,6,6,12.833333333333334,1,7,0,0,18
0,0,7,4,13.7,7,0,0.0,0,12,1,0,32
1,0,5,5,12.6,5,3,12.666666666666666,1,1,0,1,19
1,1,7,6,12.9,7,6,12.9,1,1,0,0,19
1,1,7,6,11.814285714285717,8,7,13.542857142857144,1,1,0,0,19
1,0,6,4,10.5,6,4,12.5,0,12,0,1,24
1,0,6,6,12.5,6,6,13.285714285714286,1,15,0,0,22
1,0,6,4,11.75,6,0,0.0,0,12,0,1,43
1,0,1,0,0.0,5,0,0.0,0,12,0,1,35
1,1,6,6,10.833333333333334,6,6,12.0,1,9,1,0,18
1,0,2,0,0.0,4,0,0.0,0,14,0,1,39
1,1,6,5,13.4,6,6,13.166666666666666,1,1,0,0,18
1,0,19,19,12.68421052631579,13,13,12.384615384615383,1,14,0,1,41
1,1,8,7,14.4,8,7,14.4,1,1,0,0,19
1,1,7,6,13.8,7,6,13.8,1,8,0,0,19
1,0,7,6,12.45,7,6,12.45,1,1,0,0,19
1,0,6,5,12.0,6,6,11.0,1,8,0,0,20
1,0,6,6,14.666666666666666,6,6,14.571428571428571,1,8,0,0,19
1,0,7,7,12.492857142857144,8,8,11.7125,1,8,0,1,19
1,1,0,0,0.0,0,0,0.0,0,8,0,0,18
1,0,6,6,13.571428571428571,6,5,11.8,1,1,0,1,18
0,0,12,12,15.25,11,11,15.0,1,1,0,0,19
1,0,6,3,11.666666666666666,6,2,12.5,0,1,0,1,18
1,0,11,10,14.5,9,8,14.0,1,17,0,0,21
1,0,7,7,15.46875,8,8,16.3875,1,1,0,0,31
1,0,6,6,12.5,6,6,11.5,1,1,0,1,18
1,0,5,3,12.0,5,3,11.333333333333334,0,12,0,1,28
0,0,15,12,11.75,14,9,12.22222222222222,0,2,0,1,57
1,0,6,6,11.333333333333334,6,6,10.5,1,1,0,0,40
1,1,6,4,10.25,6,4,11.25,0,8,0,1,25
1,1,6,6,13.166666666666666,6,6,12.666666666666666,1,1,0,0,20
1,0,5,0,0.0,5,0,0.0,0,1,0,1,21
1,0,6,5,10.6,6,4,10.5,1,8,0,0,19
1,0,5,3,11.666666666666666,5,4,11.75,1,1,0,0,21
0,0,5,2,11.5,5,2,10.5,0,12,1,1,35
0,0,5,0,0.0,5,0,0.0,0,12,1,1,41
0,0,9,3,14.333333333333334,7,1,14.0,0,12,1,0,29
1,1,6,1,14.0,6,0,0.0,0,8,1,0,18
1,0,6,0,0.0,6,0,0.0,0,12,0,1,58
1,1,6,6,13.166666666666666,6,6,14.142857142857142,1,1,0,0,18
1,1,5,4,11.0,5,0,0.0,0,8,1,0,19
1,0,7,6,11.833333333333334,7,7,12.228571428571428,1,12,0,0,31
1,0,5,2,14.0,5,0,0.0,0,4,0,0,33
1,0,5,5,10.2,5,5,12.2,1,12,1,0,24
1,0,7,6,13.833333333333334,6,5,13.0,0,16,0,1,20
0,0,6,0,0.0,4,0,0.0,0,14,0,1,22
0,0,5,1,13.0,5,2,14.0,0,4,0,1,40
1,1,7,7,11.0,8,7,11.7,1,12,1,0,24
1,0,5,5,14.4,5,5,13.6,1,1,0,0,18
1,1,6,1,11.0,6,0,0.0,0,9,0,1,18
1,0,6,6,13.666666666666666,6,6,13.666666666666666,1,1,0,1,45
1,1,6,6,13.0,6,6,14.333333333333334,1,9,0,0,19
1,1,6,6,13.333333333333334,6,6,13.333333333333334,1,1,0,0,18
1,0,6,0,0.0,6,0,0.0,0,12,0,1,38
0,0,8,2,11.5,7,0,0.0,0,12,0,1,32
1,0,0,0,0.0,0,0,0.0,0,1,0,0,19
1,0,5,0,0.0,5,0,0.0,0,1,0,0,20
0,0,6,6,14.0,6,6,13.666666666666666,1,6,0,1,19
1,0,6,6,13.428571428571429,6,6,13.142857142857142,1,1,0,0,21
1,0,7,0,0.0,7,0,0.0,0,12,1,1,35
1,1,6,0,0.0,6,0,0.0,0,8,0,1,20
1,0,0,0,0.0,0,0,0.0,0,8,0,0,20
1,0,5,5,16.166666666666668,5,5,14.285714285714286,1,1,0,0,18
1,1,6,6,11.857142857142858,6,6,13.142857142857142,1,1,0,0,19
1,0,6,2,12.0,6,1,11.0,0,9,0,0,18
1,0,6,6,12.5,6,6,12.666666666666666,1,8,0,0,20
1,0,5,5,14.8,5,5,14.0,1,1,0,0,20
1,0,6,6,12.333333333333334,6,5,13.2,1,1,0,1,19
1,1,6,6,13.333333333333334,6,6,14.166666666666666,1,1,0,0,18
1,1,7,7,12.718571428571428,8,8,12.805555555555555,0,8,0,1,18
1,0,0,0,0.0,0,0,0.0,1,7,0,1,18
1,0,6,5,11.0,6,6,11.666666666666666,1,8,0,0,18
1,0,5,5,12.4,5,5,10.8,1,8,0,0,18
1,0,6,5,11.2,6,4,12.5,1,8,0,1,19
0,0,6,3,11.75,6,3,10.333333333333334,0,12,1,0,24
0,0,6,0,0.0,6,0,0.0,0,1,0,0,18
1,0,6,0,0.0,6,0,0.0,0,1,0,1,19
1,0,6,6,12.571428571428571,6,6,13.5,1,15,0,0,21
1,0,7,6,13.0,8,8,14.2125,0,8,0,0,20
1,1,7,6,14.35,7,6,14.35,1,13,0,0,18
1,1,7,7,15.101428571428572,8,8,16.09375,1,1,0,0,18
1,0,5,0,0.0,5,2,12.5,0,12,0,0,39
1,0,17,17,12.578947368421051,17,17,12.117647058823527,1,1,0,1,22
1,0,5,4,14.5,6,3,13.333333333333334,0,8,1,1,20
1,0,5,1,12.0,5,0,0.0,0,12,0,0,26
1,0,7,7,12.271428571428572,8,7,13.657142857142857,1,1,1,1,24
1,0,6,0,0.0,6,0,0.0,0,12,0,1,42
1,1,17,17,13.38888888888889,17,17,14.88888888888889,1,1,0,0,21
1,0,7,7,13.30625,8,8,14.545,1,8,0,0,18
1,0,6,6,12.666666666666666,6,6,11.833333333333334,1,1,1,0,20
0,0,6,4,11.75,6,6,13.166666666666666,0,8,1,0,20
1,0,0,0,0.0,0,0,0.0,0,1,0,0,18
1,0,13,10,11.454545454545457,11,7,12.25,0,7,0,1,25
1,0,6,0,0.0,6,0,0.0,0,8,0,0,19
1,0,6,6,12.166666666666666,6,6,13.5,1,8,0,0,19
1,1,5,0,0.0,5,0,0.0,0,14,0,0,21
1,1,6,6,15.142857142857142,6,6,15.142857142857142,1,1,0,0,20
1,0,8,7,12.764285714285714,8,7,12.764285714285714,1,1,0,0,19
0,0,6,0,0.0,6,0,0.0,0,12,0,0,30
0,0,5,0,0.0,5,0,0.0,0,12,0,1,38
1,1,5,4,12.0,5,5,12.8,1,8,0,1,20
1,0,8,8,13.74625,8,8,13.74625,1,1,0,1,18
1,0,6,1,12.0,6,0,0.0,0,1,1,1,20
1,0,6,5,11.833333333333334,6,6,13.0,1,12,0,0,28
1,0,5,5,14.6,5,5,15.2,0,8,0,1,19
1,0,5,0,0.0,5,1,10.0,0,14,0,1,22
1,0,8,7,14.1,8,7,14.1,1,1,0,0,19
1,0,8,7,15.075714285714286,8,7,15.075714285714286,1,1,0,0,18
